Date,Open,High,Low,Close,Volume,RSI,MACD,Sentiment
2010-01-01,100.30917173421128,102.74124237173824,99.82283699810064,101.38132996708993,743835,75.9057998257416,0.0,0.0580892721489176
2010-01-04,101.147509306177,101.68125680404732,99.24447377900276,100.39654146029804,2693069,81.4441265603136,-0.0785586273224367,0.7512185720066489
2010-01-05,101.56749105830428,103.94966755417656,101.50934679374308,103.01215617197292,3027306,71.54401809762206,0.0694408710323273,0.979722769318842
2010-01-06,104.2478144292228,106.65255913217408,102.76008229068432,105.84634281172956,4341338,73.68354819253425,0.4106925077178402,-0.8580076788668849
2010-01-07,105.33943956545404,105.9835920693136,103.51754094282651,104.72146468986251,2106182,72.67517872257504,0.5836407773627599,0.2644564964569811
2010-01-08,103.7066219112792,106.24132388282912,103.1063461651336,104.40521900083856,3688429,62.47055213385788,0.687262805141188,-0.0630758843306766
2010-01-11,106.9709128007489,108.26717197873764,105.1395290696598,106.59795458564324,3909135,65.15128123802471,0.9355351777709302,0.078399581704798
2010-01-12,108.46302899171178,111.08140285990174,107.75908446166814,109.60306031994946,1756061,55.483690939074044,1.3591127342457554,-0.5965601792394075
2010-01-13,107.27669299270993,109.4981996175366,106.06085695899915,107.79396969549242,915340,46.91370814119807,1.5311721063505956,0.7887079535815347
2010-01-14,108.83022899803235,110.67957199273444,106.8182159461712,109.00393023322772,3990597,46.38785081489355,1.7450482714788649,-0.4264181717204884
2010-01-15,107.89097248995508,110.28450477668808,105.94943315292944,108.78064502059546,4812782,39.36583207906553,1.8749165517371296,-0.7212937632940732
2010-01-18,106.92043059263204,109.23809271690835,105.03902586635782,106.11542800017854,1397156,34.07853688512294,1.7426887292083393,0.4177081117636523
2010-01-19,108.41944737865492,109.28997602198557,106.90957674461129,107.57554508570036,4589328,32.61045716016389,1.7357083083603726,0.9608482711786672
2010-01-20,103.43979465241776,105.76666680272253,103.10059745988144,104.01382470088204,2365777,30.947242157999028,1.4263333233417228,-0.5192462496192238
